psi,eT1,vT1,uT1,lT1,eT2i,vT2i,uT2i,lT2i,eT2a,vT2a,uT2a,lT2a,eDC,vDC,uDC,lDC,eMAE,uMAE,lMAE,eMR,uMR,lMR,N,n_edges
0.54,2057.6885,642921.0079717357,3384.6499999999996,753.9499999999999,5161.072,309475.2414367183,6345.599999999999,4607.95,2599.6905,2.606261041230365e6,5636.8499999999985,412.95,2714.2865,198855.14198874438,3538.1,2112.95,0.4059433190862733,0.4944845686172666,0.2261183728509389,0.3237034912109375,0.4580078125,0.13620605468750002,4096,8064.0
0.57,2051.461,633835.8373976987,3433.1499999999996,732.9,5172.9055,332090.7509452227,6438.7,4624.95,2593.254,2.591951178073036e6,5763.05,384.9,2700.546,207818.5251465733,3572.0,2100.95,0.40754419719742063,0.49549769475680966,0.21308028243815916,0.3278082275390625,0.4619384765625,0.1279296875,4096,8064.0
0.6,2029.476,620147.3551015507,3344.05,744.0,5188.711,275100.2916248124,6338.549999999999,4668.95,2557.948,2.482869791191596e6,5523.549999999999,405.95000000000005,2701.188,193622.667989995,3521.0499999999997,2110.0,0.40830956227631515,0.4949736748696865,0.22669090567859915,0.3278348388671875,0.461669921875,0.14036865234374998,4096,8064.0
0.63,2031.829,585908.9972576291,3280.2,752.95,5192.0775,256016.2596235618,6269.299999999999,4694.950000000001,2563.965,2.270714655102551e6,5382.7,415.75,2676.464,191006.04772786392,3494.1,2095.0,0.41133330458998374,0.4956866514427845,0.23639931572252287,0.332792724609375,0.46412353515625,0.1469482421875,4096,8064.0
0.66,2057.8815,584664.7168161579,3341.0499999999997,787.9,5210.9275,261034.27738244124,6312.4,4729.0,2625.0245,2.332760732265883e6,5541.15,480.7,2673.6025,193188.13456103049,3503.1000000000004,2093.0,0.4118389595404022,0.4955075823699463,0.23298233795687087,0.3351015625,0.46534423828125,0.14475097656250002,4096,8064.0
0.69,2067.2125,562176.005346423,3308.05,791.9,5220.673,240379.6849134567,6285.2,4757.95,2648.099,2.255696413405703e6,5436.15,485.85,2658.7815,189304.64908229111,3491.0,2102.0,0.41366136240196905,0.4961745289886443,0.23590704482063857,0.33907373046875,0.46998291015625,0.147705078125,4096,8064.0
0.72,2033.3305,540370.2113754377,3293.0499999999997,808.95,5233.59,236722.236018009,6320.15,4792.950000000001,2588.2185,2.1757046260707853e6,5409.349999999999,503.95,2643.7775,185457.11955352678,3480.1,2102.0,0.41535528527180804,0.49629800155141257,0.2367285359276904,0.3430052490234375,0.46656494140625,0.15134277343750002,4096,8064.0
0.75,2079.5045,546355.6938266632,3326.1499999999996,867.9499999999999,5260.533,237473.91987093547,6291.25,4820.0,2692.2495,2.2204827336165584e6,5525.2,582.9499999999999,2643.9995,191955.62331140565,3490.05,2099.0,0.4144615487406338,0.49660749133957344,0.23396416898141642,0.343907958984375,0.47193603515625,0.14793701171875,4096,8064.0
0.78,2048.134,539773.7419149574,3310.2999999999997,825.7,5282.902,225487.06292746376,6352.05,4857.0,2641.7895,2.188707089734617e6,5486.899999999998,529.85,2638.618,190769.63589394695,3496.1,2096.95,0.41493873056281655,0.49684847168068685,0.22926020759393376,0.346737060546875,0.4736328125,0.1464599609375,4096,8064.0
0.81,2039.484,503533.57953376696,3258.05,822.9499999999999,5287.237,221038.35600900452,6278.35,4886.950000000001,2626.861,1.9675350141860931e6,5312.1,552.95,2608.639,189132.8130855428,3468.1,2095.95,0.41867548016932754,0.4975299698520231,0.23833567425870533,0.35431005859375,0.47803955078125,0.1532958984375,4096,8064.0
