psi,eT1,vT1,uT1,lT1,eT2i,vT2i,uT2i,lT2i,eT2a,vT2a,uT2a,lT2a,eDC,vDC,uDC,lDC,eMAE,uMAE,lMAE,eMR,uMR,lMR,N,n_edges
0.6,2029.566,2.23350719023912e6,3998.0,92.0,6961.643,346234.4047533767,7826.099999999999,5915.85,3444.39,8.788098236018008e6,7699.15,13.950000000000003,3425.664,334939.6219149576,4033.0,2258.8500000000004,0.33174063283278077,0.4751261517320093,0.13907147409176418,0.114794189453125,0.274169921875,0.015380859375,4096,8064.0
0.63,2052.879,2.267171189953977e6,3999.0,81.0,7034.329,311036.35893846926,7842.049999999999,6025.0,3526.763,8.870868372017007e6,7706.049999999999,11.950000000000003,3440.237,327901.4955787894,4035.05,2302.75,0.3331801673981745,0.47454452498079386,0.14251132195176994,0.1085191650390625,0.2649780273437499,0.01488037109375,4096,8064.0
0.66,2066.7485,2.3424394119537263e6,4015.0,75.0,7122.7985,278781.0904429715,7875.05,6189.95,3598.5875,9.176824399543518e6,7763.0,10.0,3462.1565,341952.06804177084,4045.0,2251.8,0.3314834374348076,0.4714546564723705,0.13629590394450766,0.0991351318359375,0.24127197265624994,0.012451171875,4096,8064.0
0.69,2037.842,2.3948629305012506e6,4016.0,67.0,7211.181,224469.63105452727,7876.1,6345.55,3585.6885,9.317000908922214e6,7768.1,8.0,3484.428,330608.58911055536,4045.0,2311.9,0.3312427562513199,0.47051442181543723,0.1415493003138674,0.0893858642578125,0.22194824218749998,0.012451171875,4096,8064.0
0.72,2014.245,2.47823357176088e6,4032.05,61.0,7298.643,183069.7444232116,7899.05,6528.95,3582.5325,9.704282025956731e6,7828.0,7.0,3512.911,332335.78497148573,4051.0,2295.7000000000003,0.3303653434211973,0.46772862489233935,0.14340885230910225,0.0796690673828125,0.19343261718749993,0.010986328125,4096,8064.0
0.75,2068.7665,2.561602082018759e6,4042.0,64.0,7369.1405,155439.97574762383,7917.0,6667.0,3725.5015,1.0038008223109301e7,7863.0,8.0,3547.0905,313637.01981965994,4057.0,2369.9500000000003,0.3308793014121476,0.46806384169334986,0.14169983925614602,0.072167236328125,0.17457275390625,0.009521484375,4096,8064.0
0.78,1984.1335,2.7121609161358187e6,4045.0,44.0,7477.111,117168.72504152078,7945.099999999999,6852.9,3612.6205,1.0555030062511003e7,7873.049999999999,4.0,3600.1665,305815.82969259634,4064.0,2395.8999999999996,0.32066261965117715,0.4607770595799129,0.13327805591735326,0.059569091796875,0.1474609375,0.0078125,4096,8064.0
0.81,1991.9085,2.6845491116835913e6,4053.0,37.0,7525.9505,102123.16763356677,7959.0,6950.0,3652.225,1.046331065970485e7,7901.0,3.0,3584.4945,325700.5952673836,4068.0,2318.95,0.3216922475133971,0.4653318787326282,0.13063189149871252,0.0558114013671875,0.13942871093749998,0.0068359375,4096,8064.0
0.84,2058.0475,2.7698745024949973e6,4060.0,38.95,7592.0565,72987.04783166583,7969.0,7118.95,3815.784,1.0816658071379688e7,7927.05,4.0,3616.7075,307901.24756753375,4070.0,2385.0,0.32223713297403067,0.46118161683841685,0.1326062505251369,0.0482471923828125,0.11719970703124999,0.00634765625,4096,8064.0
0.87,1989.4955,2.807958948453977e6,4062.0,28.0,7644.471,58048.224271135565,7985.0,7224.85,3706.899,1.0932025086342169e7,7937.0,2.0,3625.0455,323066.7698146573,4075.0,2361.0,0.3210553577711542,0.4602597029857234,0.12593398830097757,0.043017822265625,0.104736328125,0.005126953125,4096,8064.0
0.9,2029.1985,2.860272512353927e6,4066.0,28.0,7694.2535,47045.45396473236,7993.0,7322.0,3810.172,1.1129398267549774e7,7952.1,2.0,3640.1775,324328.8454164583,4077.0,2364.75,0.3180981193718301,0.4585264089048897,0.12718312445054147,0.0387650146484375,0.093505859375,0.004638671875,4096,8064.0
0.93,2060.4795,2.9309300996295647e6,4071.0,25.0,7741.626,35282.03514157078,8001.049999999999,7407.0,3895.676,1.139443688246523e7,7970.099999999999,2.0,3663.8335,318861.90372961474,4079.0,2351.65,0.31512434671275474,0.45829454106490536,0.13344874175018864,0.0336702880859375,0.08424072265624999,0.004150390625,4096,8064.0
0.96,2014.832,2.887140352952476e6,4074.0,24.0,7765.7285,28555.023299399705,8008.0,7472.95,3817.238,1.1248758086399203e7,7981.0,2.0,3645.974,333442.7156818409,4081.0,2345.95,0.32059954836591104,0.4552020075848836,0.12996644250095696,0.032458251953125,0.079833984375,0.003662109375,4096,8064.0
