psi,eT1,vT1,uT1,lT1,eT2i,vT2i,uT2i,lT2i,eT2a,vT2a,uT2a,lT2a,eDC,vDC,uDC,lDC,eMAE,uMAE,lMAE,eMR,uMR,lMR,N,n_edges
0.75,3488.664,560431.5428754378,4053.0499999999997,1704.35,6885.8605,709677.5648221612,7903.05,5270.8,6288.9405,3.320494941430465e6,7902.0,2036.9500000000003,3589.248,260348.86492846426,4053.0499999999997,2406.9,0.42540364552734594,0.6073211950107866,0.16224181300310098,0.3725831298828125,0.8701171875,0.01048583984375,4096,8064.0
0.78,3532.848,583415.2585252627,4056.0,1627.7,6998.519,641227.8465622811,7914.049999999999,5371.95,6431.872,3.313514726979489e6,7912.0,1992.6499999999999,3647.733,228865.89565882937,4056.0,2501.85,0.42517901056796836,0.6141334320470254,0.16407724690215872,0.37711328125,0.88868408203125,0.009765625,4096,8064.0
0.81,3576.6265,491861.72285917966,4059.0,1874.0,7041.646,601326.684026013,7925.049999999999,5458.7,6540.0335,2.87798852163857e6,7922.0,2518.5,3663.5005,218582.19409679843,4059.0,2575.6,0.4375443082942839,0.6262139509264361,0.16777416522311453,0.4012025146484375,0.8951171874999999,0.009033203125,4096,8064.0
0.84,3620.7515,468604.58704127057,4064.0,1883.6000000000001,7131.164,563016.1781930965,7941.0,5544.95,6671.4445,2.7469649323859434e6,7941.0,2517.6,3703.9795,199749.33574762382,4064.0,2657.85,0.4366934440438008,0.6339042647437185,0.17099125166242743,0.4025341796875,0.915771484375,0.00804443359375,4096,8064.0
0.87,3663.0685,409170.5310732866,4067.0,2320.9,7196.6535,523942.3786270635,7955.0,5657.799999999999,6787.683,2.418574815918959e6,7954.0,3334.9500000000003,3728.9145,192034.6665230115,4067.0,2678.8500000000004,0.4448200767249527,0.6453394041235359,0.1625834980280765,0.414338134765625,0.9218994140625,0.007080078125,4096,8064.0
0.9,3719.5405,326292.87479714863,4071.0,2556.85,7272.2765,473329.7339147073,7970.0,5750.75,6936.589,2.007499465811906e6,7969.049999999999,3742.9500000000003,3764.8495,172691.51160555275,4071.0,2731.8,0.4491911703049347,0.6581343367935308,0.16593795153248422,0.420403564453125,0.93409423828125,0.006103515625,4096,8064.0
0.93,3720.964,379017.72456628305,4073.0,2438.9,7328.8755,434172.2991493246,7979.0,5886.0,6967.5895,2.1798637688741875e6,7979.0,3732.65,3783.86,164509.07593796903,4073.0,2837.7,0.44994700086058126,0.6667677119512021,0.16895387697137904,0.4213084716796875,0.93897705078125,0.005615234375,4096,8064.0
0.96,3776.106,296456.34593696846,4076.0,2692.45,7403.382,392643.3757638819,7990.0,5917.65,7113.0245,1.781263379589545e6,7989.049999999999,4212.7,3817.682,150959.56365782884,4076.0,2904.9500000000003,0.4532717895929959,0.6717297274906381,0.16631431296301646,0.4299429931640625,0.9455932617187499,0.0048828125,4096,8064.0
0.99,3794.302,310626.54206703353,4079.0,2625.7000000000003,7462.664,355927.91206003,7999.0,6049.8,7178.0435,1.7879643617886445e6,7999.0,4044.2,3840.686,146392.00540670333,4079.0,2902.8999999999996,0.4545741049372991,0.6850614796502097,0.15938593768533174,0.427029541015625,0.949462890625,0.004150390625,4096,8064.0
1.02,3808.172,308642.84683941974,4080.0,2730.8999999999996,7503.971,326605.3788484242,8005.0,6185.900000000001,7226.007,1.7431086362691342e6,8005.0,4475.849999999999,3857.571,132212.8974077038,4080.0,3053.3500000000004,0.4580099518322039,0.696942210855599,0.15784449492306643,0.4355806884765625,0.958251953125,0.00390625,4096,8064.0
